STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2014,,710,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2015,,826,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2016,,976,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2017,,973,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2018,,1013,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2019,,984,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2020,,760,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2021,,856,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2022,,922,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,BE,Belgium,2023,,971,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2014,,1057,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2015,,1006,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2016,,1123,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2017,,1139,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2018,,1060,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2019,,1066,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2020,,863,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2021,,919,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2022,,853,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,CZ,Czechia,2023,,738,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2014,,11200,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2015,,12454,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2016,,12016,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2017,,17344,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2018,,16617,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2019,,17064,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2020,,14718,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2021,,16737,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2022,,15249,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,DE,Germany,2023,,16708,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2014,,3619,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2015,,3614,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2016,,3913,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2017,,4072,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2018,,4426,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2019,,4795,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2020,,3545,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2021,,4210,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2022,,4761,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,ES,Spain,2023,,5234,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2014,,10529,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2015,,10833,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2016,,11271,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2017,,11257,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2018,,16517,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2019,,17015,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2020,,13895,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2021,,10481,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2022,,10420,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,FR,France,2023,,10540,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2014,,648,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2015,,626,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2016,,836,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2017,,862,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2018,,822,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2019,,845,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2020,,967,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2021,,811,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2022,,946,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,HU,Hungary,2023,,962,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2014,,5222,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2015,,4823,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2016,,4961,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2017,,4891,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2018,,4555,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2019,,4610,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2020,,3360,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2021,,4648,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2022,,5601,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,IT,Italy,2023,,4375,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2014,,2746,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2015,,2539,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2016,,1370,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2017,,1858,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2018,,1995,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2019,,2206,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2020,,623,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2021,,3766,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2022,,1266,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,NL,Netherlands,2023,,3763,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2014,,1087,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2015,,1253,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2016,,1380,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2017,,1576,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2018,,1636,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2019,,1828,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2020,,1398,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2021,,1549,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2022,,1623,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,PL,Poland,2023,,1704,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,RO,Romania,2014,,48,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,RO,Romania,2015,,35,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,RO,Romania,2016,,50,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,RO,Romania,2017,,62,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,RO,Romania,2018,,66,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,RO,Romania,2019,,74,,,,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,RO,Romania,2020,,52,,b,break in time series,,
dataflow,ESTAT:HSW_N2_01(1.0),Non-fatal accidents at work by NACE Rev. 2 activity and sex,A,Annual,NR,Number,H,Transportation and storage,F,Females,RO,Romania,2021,,23,,,,,
